dataset,segment_id,model,n_frames,n_iters,delta_FR,delta_IMU,duration_s,mean_err_deg_s,median_err_deg_s,mean_dir_err_deg,mean_beta
boxes_rotation,seg_A,thesis_imu,150,75,0.5,0.2,3.0,10.79084050852267,6.515951700725884,5.05401235424805,1.173588164073807
boxes_rotation,seg_A,thesis_imu,150,75,0.5,0.3,3.0,8.724310658561086,4.9640908318858905,2.990409686208381,1.128789800164658
boxes_rotation,seg_A,thesis_imu,150,75,0.5,0.5,3.0,6.441052920906072,3.7324454848485678,1.4751138275770517,1.088329090395317
boxes_rotation,seg_A,thesis_imu,150,100,0.1,0.1,3.0,6.400062175413082,3.770274962291635,1.2411720227755807,1.0876891752783626
boxes_rotation,seg_A,thesis_imu,150,100,0.1,0.2,3.0,3.962963012593981,2.1584254711138016,0.4168295827374357,1.0506091797305779
boxes_rotation,seg_A,thesis_imu,150,100,0.1,0.3,3.0,2.890255093180644,1.5324492514591412,0.24767700926381792,1.0357623101191116
boxes_rotation,seg_A,thesis_imu,150,100,0.1,0.5,3.0,1.875750534301773,0.9751217793852198,0.1396553929624409,1.0225413286549092
boxes_rotation,seg_A,thesis_imu,150,100,0.2,0.1,3.0,9.401211498592689,5.675641610673147,2.9388627132307135,1.1413802774164175
boxes_rotation,seg_A,thesis_imu,150,100,0.2,0.2,3.0,6.354141256574206,3.717615368981997,1.027906262296809,1.0871318762238367
boxes_rotation,seg_A,thesis_imu,150,100,0.2,0.3,3.0,4.86633893539668,2.717790596201444,0.5625325154335309,1.063853017088555
boxes_rotation,seg_A,thesis_imu,150,100,0.2,0.5,3.0,3.3379086540046954,1.7904558675813684,0.28843045239602005,1.0418664713919603
boxes_rotation,seg_A,thesis_imu,150,100,0.3,0.1,3.0,11.348298596934717,6.609362301457738,4.735206297071015,1.1835178587223665
boxes_rotation,seg_A,thesis_imu,150,100,0.3,0.2,3.0,8.02845557999983,4.914686423174121,1.7653850210562443,1.1158001505627275
boxes_rotation,seg_A,thesis_imu,150,100,0.3,0.3,3.0,6.3403168866109825,3.700674718031276,0.967065288358231,1.0869592453842278
boxes_rotation,seg_A,thesis_imu,150,100,0.3,0.5,3.0,4.5168227258672085,2.4905010543933206,0.4664956947821444,1.0586756434542426
boxes_rotation,seg_A,thesis_imu,150,100,0.5,0.1,3.0,13.960478363171532,9.22477966759105,8.17807761490775,1.2472037018225237
boxes_rotation,seg_A,thesis_imu,150,100,0.5,0.2,3.0,10.363845664375363,6.3116832318041345,3.4783839384853263,1.1610432652686427
boxes_rotation,seg_A,thesis_imu,150,100,0.5,0.3,3.0,8.469499233580011,5.214456285692764,1.9440430312283319,1.1238670606282866
boxes_rotation,seg_A,thesis_imu,150,100,0.5,0.5,3.0,6.330950797097498,3.686668008847205,0.9216687142065221,1.0868403362674182
boxes_rotation,seg_B,cook,25,75,0.1,0.0,0.5,13.673068225493118,15.103645078127213,9.33128152510013,1.2456455357094056
boxes_rotation,seg_B,cook,25,75,0.2,0.0,0.5,13.684569957722852,14.874083485995452,9.088190410358443,1.2508451906441422
boxes_rotation,seg_B,cook,25,75,0.3,0.0,0.5,13.690965734397103,14.800499259910035,9.013530746743127,1.2525094424089702
boxes_rotation,seg_B,cook,25,75,0.5,0.0,0.5,13.695650800551261,14.73783730181814,8.949948764056645,1.2539306112406567
boxes_rotation,seg_B,cook,25,100,0.1,0.0,0.5,13.710756244028438,14.69376906581505,8.881067974586752,1.2562885528904169
